NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,230,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
0,7,580,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
0,498,584,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
0,499,212,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
1,0,230,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
1,8,582,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
1,9,315,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
1,500,587,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
2,15,293,"(165113.3130213283, 82077.04137473553)","['Guerrero St', 'Cumberland St']"
2,501,289,"(165113.3130213283, 82077.04137473553)","['Guerrero St', 'Cumberland St']"
2,502,625,"(165113.3130213283, 82077.04137473553)","['Guerrero St', 'Cumberland St']"
3,4,293,"(165161.09704649448, 81790.10559690744)","['Guerrero St', 'BORDER']"
4,3,293,"(165139.33101391047, 82082.5108519867)","['Guerrero St', 'BORDER']"
4,16,289,"(165139.33101391047, 82082.5108519867)","['Guerrero St', 'BORDER']"
5,17,279,"(165764.068937663, 82144.96413915604)","['Valencia St', 'Cunningham Pl']"
5,503,310,"(165764.068937663, 82144.96413915604)","['Valencia St', 'Cunningham Pl']"
5,504,123,"(165764.068937663, 82144.96413915604)","['Valencia St', 'Cunningham Pl']"
6,7,199,"(165949.58267424628, 82437.06886990368)","['Lexington St', '19th St']"
6,17,206,"(165949.58267424628, 82437.06886990368)","['Lexington St', '19th St']"
6,29,578,"(165949.58267424628, 82437.06886990368)","['Lexington St', '19th St']"
6,499,587,"(165949.58267424628, 82437.06886990368)","['Lexington St', '19th St']"
7,0,580,"(166148.191200912, 82450.24108765274)","['San Carlos St', '19th St']"
7,6,199,"(166148.191200912, 82450.24108765274)","['San Carlos St', '19th St']"
7,8,239,"(166148.191200912, 82450.24108765274)","['San Carlos St', '19th St']"
7,30,582,"(166148.191200912, 82450.24108765274)","['San Carlos St', '19th St']"
8,1,582,"(166387.5624413304, 82465.61310415715)","['Mission St', '19th St']"
8,7,239,"(166387.5624413304, 82465.61310415715)","['Mission St', '19th St']"
8,10,314,"(166387.5624413304, 82465.61310415715)","['Mission St', '19th St']"
8,31,584,"(166387.5624413304, 82465.61310415715)","['Mission St', '19th St']"
9,1,315,"(166746.527930744, 81908.95050357282)","['20th St', 'Capp St']"
9,10,585,"(166746.527930744, 81908.95050357282)","['20th St', 'Capp St']"
10,8,314,"(166700.65006974712, 82492.30071482062)","['Capp St', '19th St']"
10,9,585,"(166700.65006974712, 82492.30071482062)","['Capp St', '19th St']"
10,11,317,"(166700.65006974712, 82492.30071482062)","['Capp St', '19th St']"
10,32,586,"(166700.65006974712, 82492.30071482062)","['Capp St', '19th St']"
11,10,317,"(167017.49786124378, 82512.43879790604)","['S Van Ness Ave', '19th St']"
11,12,302,"(167017.49786124378, 82512.43879790604)","['S Van Ness Ave', '19th St']"
11,33,588,"(167017.49786124378, 82512.43879790604)","['S Van Ness Ave', '19th St']"
11,505,580,"(167017.49786124378, 82512.43879790604)","['S Van Ness Ave', '19th St']"
12,11,302,"(167318.7311826609, 82539.12968940288)","['Shotwell St', '19th St']"
12,14,329,"(167318.7311826609, 82539.12968940288)","['Shotwell St', '19th St']"
12,35,582,"(167318.7311826609, 82539.12968940288)","['Shotwell St', '19th St']"
12,506,586,"(167318.7311826609, 82539.12968940288)","['Shotwell St', '19th St']"
13,16,212,"(165329.47433441132, 82385.90099323541)","['Linda St', '19th St']"
13,25,587,"(165329.47433441132, 82385.90099323541)","['Linda St', '19th St']"
13,26,177,"(165329.47433441132, 82385.90099323541)","['Linda St', '19th St']"
13,507,416,"(165329.47433441132, 82385.90099323541)","['Linda St', '19th St']"
14,12,329,"(167647.13964657858, 82565.46953173727)","['Folsom St', '19th St']"
14,24,309,"(167647.13964657858, 82565.46953173727)","['Folsom St', '19th St']"
14,36,579,"(167647.13964657858, 82565.46953173727)","['Folsom St', '19th St']"
14,508,587,"(167647.13964657858, 82565.46953173727)","['Folsom St', '19th St']"
15,2,293,"(165091.83701441064, 82369.44662982225)","['Guerrero St', '19th St']"
15,16,26,"(165091.83701441064, 82369.44662982225)","['Guerrero St', '19th St']"
15,20,339,"(165091.83701441064, 82369.44662982225)","['Guerrero St', '19th St']"
15,22,582,"(165091.83701441064, 82369.44662982225)","['Guerrero St', '19th St']"
16,4,289,"(165117.85566316172, 82371.63855457306)","['Guerrero St', '19th St']"
16,13,212,"(165117.85566316172, 82371.63855457306)","['Guerrero St', '19th St']"
16,15,26,"(165117.85566316172, 82371.63855457306)","['Guerrero St', '19th St']"
16,23,581,"(165117.85566316172, 82371.63855457306)","['Guerrero St', '19th St']"
17,5,279,"(165743.74614366144, 82423.89599598944)","['19th St', 'Valencia St']"
17,6,206,"(165743.74614366144, 82423.89599598944)","['19th St', 'Valencia St']"
17,26,239,"(165743.74614366144, 82423.89599598944)","['19th St', 'Valencia St']"
17,28,577,"(165743.74614366144, 82423.89599598944)","['19th St', 'Valencia St']"
18,19,44,"(164398.7980461605, 82605.59281107038)","['Dolores St', 'No_Name']"
18,39,293,"(164398.7980461605, 82605.59281107038)","['Dolores St', 'No_Name']"
18,509,287,"(164398.7980461605, 82605.59281107038)","['Dolores St', 'No_Name']"
19,18,44,"(164443.60799591243, 82607.78932899237)","['No_Name', 'Dolores St']"
19,40,294,"(164443.60799591243, 82607.78932899237)","['No_Name', 'Dolores St']"
19,510,286,"(164443.60799591243, 82607.78932899237)","['No_Name', 'Dolores St']"
20,15,339,"(164753.01649782807, 82341.3138120696)","['19th St', 'Oakwood St']"
20,21,584,"(164753.01649782807, 82341.3138120696)","['19th St', 'Oakwood St']"
20,510,285,"(164753.01649782807, 82341.3138120696)","['19th St', 'Oakwood St']"
21,20,584,"(164705.73706482723, 82924.30313165486)","['Oakwood St', '18th St']"
21,22,341,"(164705.73706482723, 82924.30313165486)","['Oakwood St', '18th St']"
21,40,285,"(164705.73706482723, 82924.30313165486)","['Oakwood St', '18th St']"
22,15,582,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
22,21,341,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
22,23,26,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
22,44,284,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
23,16,581,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
23,22,26,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
23,25,228,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
23,45,285,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
24,14,309,"(167956.17872666195, 82588.89304132015)","['Treat Ave', '19th St']"
24,37,583,"(167956.17872666195, 82588.89304132015)","['Treat Ave', '19th St']"
24,38,317,"(167956.17872666195, 82588.89304132015)","['Treat Ave', '19th St']"
24,511,240,"(167956.17872666195, 82588.89304132015)","['Treat Ave', '19th St']"
25,13,587,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
25,23,228,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
25,47,56,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
26,13,177,"(165505.82207882777, 82401.24709115177)","['19th St', 'Lapidge St']"
26,17,239,"(165505.82207882777, 82401.24709115177)","['19th St', 'Lapidge St']"
26,27,581,"(165505.82207882777, 82401.24709115177)","['19th St', 'Lapidge St']"
27,26,581,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
27,28,241,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
27,47,103,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
28,17,577,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
28,27,241,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
28,29,217,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
28,51,318,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
29,6,578,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
29,28,217,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
29,30,206,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
29,53,313,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
30,7,582,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
30,29,206,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
30,31,219,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
30,54,317,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
31,8,584,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
31,30,219,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
31,32,315,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
31,55,318,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
32,10,586,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
32,31,315,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
32,33,315,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
32,56,581,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
33,11,588,"(166971.3247252442, 83099.43040607125)","['S Van Ness Ave', '18th St']"
33,32,315,"(166971.3247252442, 83099.43040607125)","['S Van Ness Ave', '18th St']"
33,35,313,"(166971.3247252442, 83099.43040607125)","['S Van Ness Ave', '18th St']"
