NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,2,26,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
0,13,284,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
0,346,582,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
0,347,341,"(165045.99655491114, 82949.8867419064)","['Guerrero St', '18th St']"
1,2,581,"(165117.85566316172, 82371.63855457306)","['Guerrero St', 'BORDER']"
2,0,26,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
2,1,581,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
2,3,228,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
2,14,285,"(165072.88199982792, 82951.71482224017)","['Guerrero St', '18th St']"
3,2,228,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
3,15,56,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
3,348,587,"(165300.39532432705, 82969.62292290479)","['Linda St', '18th St']"
4,5,241,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
4,15,103,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
4,349,581,"(165459.6840477474, 82981.32237457484)","['Lapidge St', '18th St']"
5,4,241,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
5,6,217,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
5,17,318,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
5,350,577,"(165700.78428732976, 82999.96603807062)","['Valencia St', '18th St']"
6,5,217,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
6,7,206,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
6,18,313,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
6,351,578,"(165917.89048041403, 83014.59888282418)","['Lexington St', '18th St']"
7,6,206,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
7,8,219,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
7,19,317,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
7,352,582,"(166123.72110549733, 83031.77863848954)","['San Carlos St', '18th St']"
8,7,219,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
8,9,315,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
8,20,318,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
8,353,584,"(166342.84993232787, 83048.23628273606)","['Mission St', '18th St']"
9,8,315,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
9,10,315,"(166657.08650857955, 83076.74475590885)","['Capp St', '18th St']"
