NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,212,"(165990.81946841255, 81850.80265399069)","['Lexington St', '20th St']"
0,10,203,"(165990.81946841255, 81850.80265399069)","['Lexington St', '20th St']"
0,15,587,"(165990.81946841255, 81850.80265399069)","['Lexington St', '20th St']"
0,571,584,"(165990.81946841255, 81850.80265399069)","['Lexington St', '20th St']"
1,0,212,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
1,2,230,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
1,16,580,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
1,572,584,"(166202.15041057765, 81872.71894873679)","['San Carlos St', '20th St']"
2,1,230,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
2,3,315,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
2,17,582,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
2,573,587,"(166431.98689316213, 81885.17496056855)","['Mission St', '20th St']"
3,2,315,"(166746.527930744, 81908.95050357282)","['Capp St', '20th St']"
3,4,315,"(166746.527930744, 81908.95050357282)","['Capp St', '20th St']"
3,18,585,"(166746.527930744, 81908.95050357282)","['Capp St', '20th St']"
3,574,581,"(166746.527930744, 81908.95050357282)","['Capp St', '20th St']"
4,3,315,"(167060.77861458063, 81933.82184490561)","['S Van Ness Ave', '20th St']"
4,5,319,"(167060.77861458063, 81933.82184490561)","['S Van Ness Ave', '20th St']"
4,19,580,"(167060.77861458063, 81933.82184490561)","['S Van Ness Ave', '20th St']"
4,575,583,"(167060.77861458063, 81933.82184490561)","['S Van Ness Ave', '20th St']"
5,4,319,"(167379.65592958033, 81955.42153923959)","['Shotwell St', '20th St']"
5,6,314,"(167379.65592958033, 81955.42153923959)","['Shotwell St', '20th St']"
5,20,586,"(167379.65592958033, 81955.42153923959)","['Shotwell St', '20th St']"
5,576,579,"(167379.65592958033, 81955.42153923959)","['Shotwell St', '20th St']"
6,5,314,"(167692.74946349487, 81979.57175340503)","['Folsom St', '20th St']"
6,22,587,"(167692.74946349487, 81979.57175340503)","['Folsom St', '20th St']"
6,23,331,"(167692.74946349487, 81979.57175340503)","['Folsom St', '20th St']"
6,577,584,"(167692.74946349487, 81979.57175340503)","['Folsom St', '20th St']"
7,9,25,"(165135.65582441166, 81788.27784465253)","['Guerrero St', '20th St']"
