NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,306,"(165007.94610607997, 79435.11555624008)","['Fair Oaks St', '24th St']"
0,23,156,"(165007.94610607997, 79435.11555624008)","['Fair Oaks St', '24th St']"
0,25,585,"(165007.94610607997, 79435.11555624008)","['Fair Oaks St', '24th St']"
0,1304,584,"(165007.94610607997, 79435.11555624008)","['Fair Oaks St', '24th St']"
1,0,306,"(165313.5540906638, 79457.77955290675)","['Guerrero St', '24th St']"
1,3,27,"(165313.5540906638, 79457.77955290675)","['Guerrero St', '24th St']"
1,26,294,"(165313.5540906638, 79457.77955290675)","['Guerrero St', '24th St']"
1,1305,585,"(165313.5540906638, 79457.77955290675)","['Guerrero St', '24th St']"
2,3,585,"(165384.85086407885, 78875.89160907269)","['Guerrero St', 'BORDER']"
3,1,27,"(165341.02122732997, 79459.6082894057)","['Guerrero St', '24th St']"
3,2,585,"(165341.02122732997, 79459.6082894057)","['Guerrero St', '24th St']"
3,4,356,"(165341.02122732997, 79459.6082894057)","['Guerrero St', '24th St']"
3,27,294,"(165341.02122732997, 79459.6082894057)","['Guerrero St', '24th St']"
4,3,356,"(165696.6471564956, 79486.29655624181)","['San Jose Ave', '24th St']"
4,5,133,"(165696.6471564956, 79486.29655624181)","['San Jose Ave', '24th St']"
4,28,294,"(165696.6471564956, 79486.29655624181)","['San Jose Ave', '24th St']"
4,1306,584,"(165696.6471564956, 79486.29655624181)","['San Jose Ave', '24th St']"
5,4,133,"(165829.6445939131, 79499.08229181916)","['Poplar St', '24th St']"
5,6,136,"(165829.6445939131, 79499.08229181916)","['Poplar St', '24th St']"
5,1307,585,"(165829.6445939131, 79499.08229181916)","['Poplar St', '24th St']"
6,5,136,"(165966.40186632797, 79507.13640957326)","['Valencia St', '24th St']"
6,7,167,"(165966.40186632797, 79507.13640957326)","['Valencia St', '24th St']"
6,29,582,"(165966.40186632797, 79507.13640957326)","['Valencia St', '24th St']"
6,1308,585,"(165966.40186632797, 79507.13640957326)","['Valencia St', '24th St']"
7,6,167,"(166133.22797624394, 79518.8417667374)","['Orange Aly', '24th St']"
7,8,141,"(166133.22797624394, 79518.8417667374)","['Orange Aly', '24th St']"
7,30,105,"(166133.22797624394, 79518.8417667374)","['Orange Aly', '24th St']"
7,1309,584,"(166133.22797624394, 79518.8417667374)","['Orange Aly', '24th St']"
8,7,141,"(166274.90059316158, 79526.89883723855)","['Bartlett St', '24th St']"
8,9,171,"(166274.90059316158, 79526.89883723855)","['Bartlett St', '24th St']"
8,31,585,"(166274.90059316158, 79526.89883723855)","['Bartlett St', '24th St']"
8,1310,580,"(166274.90059316158, 79526.89883723855)","['Bartlett St', '24th St']"
9,8,171,"(166445.77295482904, 79542.24887215346)","['Osage Aly', '24th St']"
9,10,162,"(166445.77295482904, 79542.24887215346)","['Osage Aly', '24th St']"
9,32,215,"(166445.77295482904, 79542.24887215346)","['Osage Aly', '24th St']"
9,1311,584,"(166445.77295482904, 79542.24887215346)","['Osage Aly', '24th St']"
10,9,162,"(166607.97210549563, 79554.68421474099)","['Mission St', '24th St']"
10,11,164,"(166607.97210549563, 79554.68421474099)","['Mission St', '24th St']"
10,33,585,"(166607.97210549563, 79554.68421474099)","['Mission St', '24th St']"
10,1312,580,"(166607.97210549563, 79554.68421474099)","['Mission St', '24th St']"
11,10,164,"(166772.1945460774, 79568.57788773626)","['Lilac St', '24th St']"
