NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,25,580,"(164283.5325286612, 79966.94421698898)","['Chattanooga St', '23rd St']"
0,26,154,"(164283.5325286612, 79966.94421698898)","['Chattanooga St', '23rd St']"
0,1194,587,"(164283.5325286612, 79966.94421698898)","['Chattanooga St', '23rd St']"
0,1195,155,"(164283.5325286612, 79966.94421698898)","['Chattanooga St', '23rd St']"
1,2,37,"(164600.98957091197, 79988.1466024071)","['Dolores St', '23rd St']"
1,26,163,"(164600.98957091197, 79988.1466024071)","['Dolores St', '23rd St']"
1,28,584,"(164600.98957091197, 79988.1466024071)","['Dolores St', '23rd St']"
1,1196,585,"(164600.98957091197, 79988.1466024071)","['Dolores St', '23rd St']"
2,1,37,"(164638.57545374706, 79990.34115181863)","['Dolores St', '23rd St']"
2,3,166,"(164638.57545374706, 79990.34115181863)","['Dolores St', '23rd St']"
2,29,584,"(164638.57545374706, 79990.34115181863)","['Dolores St', '23rd St']"
2,1197,584,"(164638.57545374706, 79990.34115181863)","['Dolores St', '23rd St']"
3,2,166,"(164803.95241957903, 80006.04387632012)","['Quane St', '23rd St']"
3,4,154,"(164803.95241957903, 80006.04387632012)","['Quane St', '23rd St']"
3,30,582,"(164803.95241957903, 80006.04387632012)","['Quane St', '23rd St']"
3,1198,587,"(164803.95241957903, 80006.04387632012)","['Quane St', '23rd St']"
4,3,154,"(164957.4757345803, 80018.46675173938)","['Fair Oaks St', '23rd St']"
4,31,584,"(164957.4757345803, 80018.46675173938)","['Fair Oaks St', '23rd St']"
4,32,154,"(164957.4757345803, 80018.46675173938)","['Fair Oaks St', '23rd St']"
4,1199,585,"(164957.4757345803, 80018.46675173938)","['Fair Oaks St', '23rd St']"
5,19,291,"(165291.49507966265, 79751.27634123713)","['Guerrero St', 'BORDER']"
5,1200,294,"(165291.49507966265, 79751.27634123713)","['Guerrero St', 'BORDER']"
6,7,294,"(165341.02122732997, 79459.6082894057)","['Guerrero St', 'BORDER']"
7,6,294,"(165317.5163530782, 79753.10474965721)","['Guerrero St', 'Elizabeth St']"
7,8,390,"(165317.5163530782, 79753.10474965721)","['Guerrero St', 'Elizabeth St']"
7,20,292,"(165317.5163530782, 79753.10474965721)","['Guerrero St', 'Elizabeth St']"
8,7,390,"(165706.6776482463, 79780.16703148931)","['San Jose Ave', 'Elizabeth St']"
8,21,295,"(165706.6776482463, 79780.16703148931)","['San Jose Ave', 'Elizabeth St']"
8,1201,294,"(165706.6776482463, 79780.16703148931)","['San Jose Ave', 'Elizabeth St']"
9,10,316,"(165921.6942785792, 80088.30289815366)","['Valencia St', '23rd St']"
9,21,203,"(165921.6942785792, 80088.30289815366)","['Valencia St', '23rd St']"
9,36,586,"(165921.6942785792, 80088.30289815366)","['Valencia St', '23rd St']"
9,1202,582,"(165921.6942785792, 80088.30289815366)","['Valencia St', '23rd St']"
10,9,316,"(166237.4131353274, 80111.344518736)","['Bartlett St', '23rd St']"
10,11,329,"(166237.4131353274, 80111.344518736)","['Bartlett St', '23rd St']"
10,37,587,"(166237.4131353274, 80111.344518736)","['Bartlett St', '23rd St']"
10,1203,585,"(166237.4131353274, 80111.344518736)","['Bartlett St', '23rd St']"
11,10,329,"(166565.2737000771, 80138.76375523955)","['Mission St', '23rd St']"
11,12,316,"(166565.2737000771, 80138.76375523955)","['Mission St', '23rd St']"
11,38,582,"(166565.2737000771, 80138.76375523955)","['Mission St', '23rd St']"
11,1204,585,"(166565.2737000771, 80138.76375523955)","['Mission St', '23rd St']"
12,11,316,"(166880.99124449492, 80162.17709423602)","['Capp St', '23rd St']"
12,13,314,"(166880.99124449492, 80162.17709423602)","['Capp St', '23rd St']"
12,39,583,"(166880.99124449492, 80162.17709423602)","['Capp St', '23rd St']"
12,1205,583,"(166880.99124449492, 80162.17709423602)","['Capp St', '23rd St']"
13,12,314,"(167194.3951452449, 80186.68557540327)","['S Van Ness Ave', '23rd St']"
13,14,296,"(167194.3951452449, 80186.68557540327)","['S Van Ness Ave', '23rd St']"
13,41,582,"(167194.3951452449, 80186.68557540327)","['S Van Ness Ave', '23rd St']"
13,1206,584,"(167194.3951452449, 80186.68557540327)","['S Van Ness Ave', '23rd St']"
14,13,296,"(167490.45196782798, 80207.91387940198)","['Shotwell St', '23rd St']"
14,15,334,"(167490.45196782798, 80207.91387940198)","['Shotwell St', '23rd St']"
14,42,585,"(167490.45196782798, 80207.91387940198)","['Shotwell St', '23rd St']"
14,1207,589,"(167490.45196782798, 80207.91387940198)","['Shotwell St', '23rd St']"
15,14,334,"(167824.38273041323, 80232.43745240569)","['Folsom St', '23rd St']"
15,16,317,"(167824.38273041323, 80232.43745240569)","['Folsom St', '23rd St']"
15,43,585,"(167824.38273041323, 80232.43745240569)","['Folsom St', '23rd St']"
15,1208,581,"(167824.38273041323, 80232.43745240569)","['Folsom St', '23rd St']"
16,15,317,"(168141.25512816384, 80254.77369382232)","['Treat Ave', '23rd St']"
16,17,311,"(168141.25512816384, 80254.77369382232)","['Treat Ave', '23rd St']"
16,44,595,"(168141.25512816384, 80254.77369382232)","['Treat Ave', '23rd St']"
16,1209,580,"(168141.25512816384, 80254.77369382232)","['Treat Ave', '23rd St']"
17,16,311,"(168451.76631816104, 80277.47476390749)","['Harrison St', '23rd St']"
17,18,274,"(168451.76631816104, 80277.47476390749)","['Harrison St', '23rd St']"
17,45,597,"(168451.76631816104, 80277.47476390749)","['Harrison St', '23rd St']"
17,1210,578,"(168451.76631816104, 80277.47476390749)","['Harrison St', '23rd St']"
18,17,274,"(168725.26839582995, 80301.6210410744)","['Alabama St', '23rd St']"
18,46,596,"(168725.26839582995, 80301.6210410744)","['Alabama St', '23rd St']"
18,47,261,"(168725.26839582995, 80301.6210410744)","['Alabama St', '23rd St']"
18,1211,582,"(168725.26839582995, 80301.6210410744)","['Alabama St', '23rd St']"
19,5,291,"(165267.99184582755, 80041.8600776568)","['Guerrero St', '23rd St']"
19,20,28,"(165267.99184582755, 80041.8600776568)","['Guerrero St', '23rd St']"
19,32,157,"(165267.99184582755, 80041.8600776568)","['Guerrero St', '23rd St']"
19,34,282,"(165267.99184582755, 80041.8600776568)","['Guerrero St', '23rd St']"
20,7,292,"(165296.61482007802, 80044.41715915501)","['Guerrero St', '23rd St']"
20,19,28,"(165296.61482007802, 80044.41715915501)","['Guerrero St', '23rd St']"
20,21,423,"(165296.61482007802, 80044.41715915501)","['Guerrero St', '23rd St']"
20,1212,283,"(165296.61482007802, 80044.41715915501)","['Guerrero St', '23rd St']"
21,8,295,"(165719.02014324442, 80075.49518098682)","['23rd St', 'San Jose Ave']"
21,9,203,"(165719.02014324442, 80075.49518098682)","['23rd St', 'San Jose Ave']"
21,20,423,"(165719.02014324442, 80075.49518098682)","['23rd St', 'San Jose Ave']"
21,35,293,"(165719.02014324442, 80075.49518098682)","['23rd St', 'San Jose Ave']"
22,23,324,"(163600.49354041368, 80490.7902821526)","['Vicksburg St', '22nd St']"
22,40,331,"(163600.49354041368, 80490.7902821526)","['Vicksburg St', '22nd St']"
22,1213,577,"(163600.49354041368, 80490.7902821526)","['Vicksburg St', '22nd St']"
23,22,324,"(163923.7258335799, 80518.90472723544)","['Church St', '22nd St']"
23,25,318,"(163923.7258335799, 80518.90472723544)","['Church St', '22nd St']"
23,56,302,"(163923.7258335799, 80518.90472723544)","['Church St', '22nd St']"
23,1214,582,"(163923.7258335799, 80518.90472723544)","['Church St', '22nd St']"
24,1195,483,"(164104.44692882895, 80437.37929973751)","['Severn St', 'BORDER']"
25,0,580,"(164241.46404324472, 80546.2934519872)","['Chattanooga St', '22nd St']"
25,23,318,"(164241.46404324472, 80546.2934519872)","['Chattanooga St', '22nd St']"
25,28,316,"(164241.46404324472, 80546.2934519872)","['Chattanooga St', '22nd St']"
25,57,581,"(164241.46404324472, 80546.2934519872)","['Chattanooga St', '22nd St']"
26,0,154,"(164437.6349107474, 79977.5436052382)","['23rd St', 'Mersey St']"
26,1,163,"(164437.6349107474, 79977.5436052382)","['23rd St', 'Mersey St']"
26,27,84,"(164437.6349107474, 79977.5436052382)","['23rd St', 'Mersey St']"
27,26,84,"(164432.69791274518, 80062.38890799135)","['Mersey St', 'BORDER']"
28,1,584,"(164556.60055207834, 80571.13625007123)","['Dolores St', '22nd St']"
28,25,316,"(164556.60055207834, 80571.13625007123)","['Dolores St', '22nd St']"
28,29,44,"(164556.60055207834, 80571.13625007123)","['Dolores St', '22nd St']"
28,58,292,"(164556.60055207834, 80571.13625007123)","['Dolores St', '22nd St']"
29,2,584,"(164601.12441316247, 80573.69694048911)","['Dolores St', '22nd St']"
29,28,44,"(164601.12441316247, 80573.69694048911)","['Dolores St', '22nd St']"
29,30,165,"(164601.12441316247, 80573.69694048911)","['Dolores St', '22nd St']"
29,59,293,"(164601.12441316247, 80573.69694048911)","['Dolores St', '22nd St']"
30,3,582,"(164765.92034341395, 80586.85012940317)","['Quane St', '22nd St']"
30,29,165,"(164765.92034341395, 80586.85012940317)","['Quane St', '22nd St']"
30,31,143,"(164765.92034341395, 80586.85012940317)","['Quane St', '22nd St']"
30,60,586,"(164765.92034341395, 80586.85012940317)","['Quane St', '22nd St']"
31,4,584,"(164908.74223624542, 80601.09058649093)","['Fair Oaks St', '22nd St']"
31,30,143,"(164908.74223624542, 80601.09058649093)","['Fair Oaks St', '22nd St']"
31,33,156,"(164908.74223624542, 80601.09058649093)","['Fair Oaks St', '22nd St']"
31,61,581,"(164908.74223624542, 80601.09058649093)","['Fair Oaks St', '22nd St']"
32,4,154,"(165110.99904957786, 80030.89061140269)","['23rd St', 'Ames St']"
32,19,157,"(165110.99904957786, 80030.89061140269)","['23rd St', 'Ames St']"
32,33,583,"(165110.99904957786, 80030.89061140269)","['23rd St', 'Ames St']"
33,31,156,"(165064.86462741345, 80612.42258482426)","['Ames St', '22nd St']"
33,32,583,"(165064.86462741345, 80612.42258482426)","['Ames St', '22nd St']"
33,49,159,"(165064.86462741345, 80612.42258482426)","['Ames St', '22nd St']"
33,62,583,"(165064.86462741345, 80612.42258482426)","['Ames St', '22nd St']"
34,19,282,"(165247.96137407795, 80323.340813905)","['Guerrero St', 'BORDER']"
34,49,300,"(165247.96137407795, 80323.340813905)","['Guerrero St', 'BORDER']"
35,21,293,"(165720.66548116133, 80369.36335965246)","['San Jose Ave', 'Alvarado St']"
35,53,295,"(165720.66548116133, 80369.36335965246)","['San Jose Ave', 'Alvarado St']"
35,1212,448,"(165720.66548116133, 80369.36335965246)","['San Jose Ave', 'Alvarado St']"
36,9,586,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
36,37,316,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
36,53,129,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
36,65,290,"(165876.4089360796, 80673.47495615482)","['Valencia St', '22nd St']"
37,10,587,"(166192.12090307847, 80696.88009307534)","['Bartlett St', '22nd St']"
