0.0,393.0,664.0,351.0,170.0,721.0,140.0,837.0,85.0,125.0,947.0,315.0
393.0,0.0,223.0,991.0,652.0,608.0,559.0,622.0,300.0,923.0,401.0,389.0
664.0,223.0,0.0,520.0,691.0,326.0,829.0,590.0,421.0,772.0,203.0,870.0
351.0,991.0,520.0,0.0,857.0,146.0,664.0,785.0,76.0,493.0,733.0,699.0
170.0,652.0,691.0,857.0,0.0,606.0,132.0,110.0,967.0,976.0,666.0,986.0
721.0,608.0,326.0,146.0,606.0,0.0,90.0,103.0,825.0,434.0,781.0,391.0
140.0,559.0,829.0,664.0,132.0,90.0,0.0,553.0,263.0,398.0,182.0,923.0
837.0,622.0,590.0,785.0,110.0,103.0,553.0,0.0,392.0,874.0,797.0,462.0
85.0,300.0,421.0,76.0,967.0,825.0,263.0,392.0,0.0,293.0,648.0,267.0
125.0,923.0,772.0,493.0,976.0,434.0,398.0,874.0,293.0,0.0,432.0,278.0
947.0,401.0,203.0,733.0,666.0,781.0,182.0,797.0,648.0,432.0,0.0,71.0
315.0,389.0,870.0,699.0,986.0,391.0,923.0,462.0,267.0,278.0,71.0,0.0
