0.0,553.0,652.0,888.0,807.0,691.0,984.0,360.0,379.0,914.0
553.0,0.0,777.0,297.0,779.0,785.0,249.0,646.0,682.0,272.0
652.0,777.0,0.0,472.0,54.0,879.0,163.0,423.0,237.0,987.0
888.0,297.0,472.0,0.0,657.0,481.0,884.0,534.0,187.0,872.0
807.0,779.0,54.0,657.0,0.0,543.0,287.0,935.0,157.0,619.0
691.0,785.0,879.0,481.0,543.0,0.0,107.0,775.0,923.0,638.0
984.0,249.0,163.0,884.0,287.0,107.0,0.0,445.0,613.0,932.0
360.0,646.0,423.0,534.0,935.0,775.0,445.0,0.0,203.0,770.0
379.0,682.0,237.0,187.0,157.0,923.0,613.0,203.0,0.0,748.0
914.0,272.0,987.0,872.0,619.0,638.0,932.0,770.0,748.0,0.0
