0.0,61.0,582.0,359.0,278.0,209.0,992.0,802.0,423.0,763.0,587.0
61.0,0.0,225.0,769.0,558.0,616.0,100.0,607.0,505.0,405.0,599.0
582.0,225.0,0.0,558.0,683.0,237.0,931.0,296.0,278.0,104.0,922.0
359.0,769.0,558.0,0.0,164.0,651.0,433.0,814.0,723.0,606.0,826.0
278.0,558.0,683.0,164.0,0.0,665.0,72.0,753.0,128.0,252.0,156.0
209.0,616.0,237.0,651.0,665.0,0.0,346.0,608.0,524.0,589.0,477.0
992.0,100.0,931.0,433.0,72.0,346.0,0.0,442.0,846.0,431.0,123.0
802.0,607.0,296.0,814.0,753.0,608.0,442.0,0.0,611.0,337.0,697.0
423.0,505.0,278.0,723.0,128.0,524.0,846.0,611.0,0.0,492.0,893.0
763.0,405.0,104.0,606.0,252.0,589.0,431.0,337.0,492.0,0.0,671.0
587.0,599.0,922.0,826.0,156.0,477.0,123.0,697.0,893.0,671.0,0.0
